cpf;nome do servidor;mes pagamento;ano pagamento;vale transporte;vale alimentacao;desconto do INSS;desconto do IRRF;adiantamento salarial;licenca paternidade;licenca de luto;licenca casamento;licenca maternidade;licenca nao remunerada
824..37.1.6-95;Diego Santos;05;2023;R$ 61,11;R$ 403,49;R$ 548,20;R$ 1366,22;R$ 316,38;R$ 12,74;R$ 22,81;R$ 8,25;R$ 160,11;R$ 801,37
380..25.6.4-19;Gabriela Peixoto;05;2023;R$ 77,37;R$ 530,85;R$ 789,63;R$ 152,46;R$ 275,22;R$ 7,09;R$ 38,62;R$ 4,47;R$ 25,52;R$ 80,87
650..82.3.9-17;Thales Moura;05;2023;R$ 123,12;R$ 221,36;R$ 686,81;R$ 310,42;R$ 954,37;R$ 1,81;R$ 0,90;R$ 26,66;R$ 430,07;R$ 669,64
049..53.2.7-86;Maria Clara Nascimento;06;2023;R$ 197,53;R$ 489,29;R$ 872,75;R$ 1268,79;R$ 308,92;R$ 33,96;R$ 42,50;R$ 8,23;R$ 354,66;R$ 579,70
967..50.4.8-23;Vitor Gabriel Santos;06;2023;R$ 90,08;R$ 324,38;R$ 802,79;R$ 999,96;R$ 769,65;R$ 4,59;R$ 37,07;R$ 48,60;R$ 474,35;R$ 1020,56
316..98.2.7-45;Cecilia Oliveira;06;2023;R$ 94,88;R$ 274,98;R$ 803,51;R$ 2007,94;R$ 694,58;R$ 4,45;R$ 2,78;R$ 22,11;R$ 298,77;R$ 262,50
047..92.5.6-38;Joao Felipe Barbosa;06;2023;R$ 54,10;R$ 524,18;R$ 689,11;R$ 1201,45;R$ 966,15;R$ 31,72;R$ 10,02;R$ 7,32;R$ 401,12;R$ 84,50
986..24.0.3-17;Davi Lucca Ferreira;06;2023;R$ 54,33;R$ 396,48;R$ 373,25;R$ 727,97;R$ 848,54;R$ 47,80;R$ 36,59;R$ 24,19;R$ 392,34;R$ 567,61
512..30.9.4-68;Maite Rocha;07;2023;R$ 115,84;R$ 422,23;R$ 360,36;R$ 279,38;R$ 384,79;R$ 3,64;R$ 32,60;R$ 10,10;R$ 387,75;R$ 144,49
865..30.9.7-21;Pedro Lucas Cavalcanti;07;2023;R$ 69,29;R$ 310,73;R$ 764,10;R$ 72,04;R$ 148,20;R$ 49,17;R$ 15,15;R$ 22,77;R$ 398,25;R$ 1070,48
978..41.0.3-65;Pedro Miguel Pires;07;2023;R$ 179,76;R$ 366,39;R$ 908,85;R$ 1118,39;R$ 839,67;R$ 6,15;R$ 6,85;R$ 42,94;R$ 162,53;R$ 453,93
065..27.9.8-13;Lavinia Ferreira;07;2023;R$ 141,48;R$ 499,95;R$ 255,34;R$ 790,54;R$ 627,86;R$ 17,28;R$ 13,94;R$ 39,94;R$ 351,97;R$ 399,57
421..57.0.6-93;Nathan da Cruz;07;2023;R$ 185,97;R$ 505,21;R$ 491,15;R$ 330,47;R$ 735,93;R$ 21,02;R$ 35,53;R$ 21,42;R$ 395,53;R$ 675,02
307..21.6.9-54;Ana Julia Barbosa;08;2023;R$ 153,24;R$ 391,45;R$ 316,47;R$ 344,45;R$ 486,24;R$ 2,81;R$ 13,93;R$ 49,79;R$ 4,45;R$ 621,82
528..04.7.3-61;Luiz Miguel da Rocha;08;2023;R$ 154,17;R$ 377,45;R$ 908,85;R$ 646,04;R$ 593,84;R$ 48,58;R$ 38,37;R$ 15,55;R$ 253,71;R$ 821,07
560..49.3.2-17;Ana Clara Costela;08;2023;R$ 130,07;R$ 540,06;R$ 604,07;R$ 848,58;R$ 206,40;R$ 14,17;R$ 25,53;R$ 34,66;R$ 29,42;R$ 561,96
391..54.0.2-87;Henrique Nunes;08;2023;R$ 121,30;R$ 492,27;R$ 315,37;R$ 516,47;R$ 758,29;R$ 40,32;R$ 23,34;R$ 38,57;R$ 490,92;R$ 428,74
856..19.0.3-74;Maria Alice Barbosa;08;2023;R$ 104,32;R$ 493,26;R$ 866,29;R$ 547,80;R$ 365,05;R$ 15,86;R$ 29,06;R$ 5,09;R$ 368,31;R$ 851,46
826..73.5.0-91;Elisa da Mata;09;2023;R$ 162,15;R$ 205,76;R$ 766,45;R$ 570,01;R$ 300,82;R$ 36,62;R$ 28,54;R$ 30,23;R$ 396,66;R$ 613,71
426..85.1.0-37;Lais Ferreira;09;2023;R$ 134,97;R$ 411,29;R$ 578,15;R$ 17,54;R$ 832,29;R$ 30,37;R$ 1,10;R$ 0,15;R$ 426,45;R$ 56,93
978..26.1.4-03;Ana Livia da Mota;09;2023;R$ 63,75;R$ 275,33;R$ 413,13;R$ 350,65;R$ 748,44;R$ 31,19;R$ 0,32;R$ 19,72;R$ 455,57;R$ 387,71
762..13.9.4-08;Luiz Gustavo Oliveira;09;2023;R$ 120,96;R$ 468,50;R$ 273,23;R$ 441,44;R$ 327,65;R$ 21,65;R$ 15,50;R$ 8,61;R$ 118,20;R$ 500,00
804..72.6.1-95;Vitor Gabriel Pinto;09;2023;R$ 61,30;R$ 391,82;R$ 683,99;R$ 412,52;R$ 864,39;R$ 43,71;R$ 15,08;R$ 26,33;R$ 291,37;R$ 725,94
761..32.0.4-89;Gustavo Almeida;10;2023;R$ 147,73;R$ 381,99;R$ 700,88;R$ 1723,74;R$ 407,68;R$ 19,98;R$ 22,79;R$ 9,75;R$ 485,69;R$ 907,19
362..89.7.0-51;Ana Julia Porto;10;2023;R$ 166,51;R$ 490,72;R$ 576,86;R$ 607,42;R$ 315,31;R$ 16,23;R$ 36,90;R$ 25,00;R$ 252,87;R$ 263,14
498..23.6.5-17;Henrique Ferreira;10;2023;R$ 64,48;R$ 427,30;R$ 822,46;R$ 1639,58;R$ 251,60;R$ 41,54;R$ 21,36;R$ 40,57;R$ 340,49;R$ 258,77
049..53.6.1-78;Davi Lucas Rezende;10;2023;R$ 105,49;R$ 228,71;R$ 884,95;R$ 127,02;R$ 877,44;R$ 9,42;R$ 47,91;R$ 36,38;R$ 281,86;R$ 213,93
709..13.8.2-56;Rafael Silva;10;2023;R$ 166,42;R$ 521,90;R$ 683,80;R$ 1905,38;R$ 106,94;R$ 26,95;R$ 34,98;R$ 13,53;R$ 460,09;R$ 1544,04
723..45.6.0-81;Yasmin da Rocha;11;2023;R$ 162,35;R$ 239,83;R$ 908,85;R$ 723,55;R$ 373,87;R$ 42,78;R$ 32,60;R$ 28,19;R$ 140,56;R$ 1019,64
783..61.9.5-42;Isis Goncalves;11;2023;R$ 129,27;R$ 589,21;R$ 341,33;R$ 198,35;R$ 206,07;R$ 43,53;R$ 10,75;R$ 14,56;R$ 297,61;R$ 372,69
389..05.6.1-42;Marcelo Martins;11;2023;R$ 88,27;R$ 253,35;R$ 437,86;R$ 837,38;R$ 823,12;R$ 11,78;R$ 46,96;R$ 12,23;R$ 189,53;R$ 90,54
891..30.5.4-62;Luiza Cunha;11;2023;R$ 65,39;R$ 296,70;R$ 794,22;R$ 1287,43;R$ 779,11;R$ 17,05;R$ 19,11;R$ 15,41;R$ 160,03;R$ 144,62
376..84.2.1-95;Pedro Miguel Silva;11;2023;R$ 105,46;R$ 518,36;R$ 908,85;R$ 1802,41;R$ 608,74;R$ 12,34;R$ 4,03;R$ 8,18;R$ 353,85;R$ 1463,88
620..38.9.5-74;Joao Rezende;12;2023;R$ 199,54;R$ 272,83;R$ 908,85;R$ 1345,89;R$ 668,55;R$ 20,09;R$ 26,40;R$ 39,93;R$ 382,94;R$ 388,11
627..05.8.3-91;Livia Costela;12;2023;R$ 143,19;R$ 563,93;R$ 578,92;R$ 258,84;R$ 253,68;R$ 24,61;R$ 29,50;R$ 40,59;R$ 30,76;R$ 648,10
051..68.7.4-93;Leticia Caldeira;12;2023;R$ 71,23;R$ 330,88;R$ 873,59;R$ 30,62;R$ 243,10;R$ 47,98;R$ 13,78;R$ 15,74;R$ 229,42;R$ 139,04
452..97.1.0-83;Vitoria Nunes;12;2023;R$ 64,51;R$ 341,97;R$ 247,23;R$ 825,14;R$ 481,12;R$ 4,15;R$ 36,53;R$ 34,47;R$ 128,32;R$ 265,51
537..24.0.8-16;Samuel Alves;12;2023;R$ 150,48;R$ 420,11;R$ 692,41;R$ 1263,84;R$ 331,94;R$ 16,54;R$ 35,49;R$ 26,52;R$ 16,63;R$ 529,75
287..63.0.1-45;Valentina Caldeira;01;2024;R$ 110,01;R$ 313,90;R$ 580,72;R$ 1850,36;R$ 498,52;R$ 16,73;R$ 13,59;R$ 4,72;R$ 386,62;R$ 106,70
647..85.2.3-09;Livia Cunha;01;2024;R$ 137,35;R$ 238,39;R$ 860,32;R$ 778,74;R$ 428,82;R$ 21,86;R$ 10,80;R$ 44,80;R$ 32,97;R$ 985,37
386..91.4.2-75;Caue Cardoso;01;2024;R$ 60,58;R$ 402,03;R$ 649,17;R$ 1580,92;R$ 603,22;R$ 1,37;R$ 8,56;R$ 47,28;R$ 223,09;R$ 738,81
028..37.4.9-15;Isabella Ramos;01;2024;R$ 55,36;R$ 396,76;R$ 468,89;R$ 548,68;R$ 871,28;R$ 37,89;R$ 23,10;R$ 5,55;R$ 338,94;R$ 757,66
180..49.7.3-56;Igor da Mata;01;2024;R$ 141,64;R$ 484,87;R$ 908,85;R$ 660,23;R$ 898,84;R$ 17,49;R$ 36,05;R$ 13,78;R$ 76,88;R$ 1314,52
491..76.2.5-08;Milena Carvalho;02;2024;R$ 81,11;R$ 400,90;R$ 597,55;R$ 1040,39;R$ 737,42;R$ 29,89;R$ 10,31;R$ 37,93;R$ 462,64;R$ 554,69
928..73.0.4-65;Thales Campos;02;2024;R$ 95,40;R$ 474,36;R$ 807,19;R$ 622,95;R$ 742,40;R$ 12,19;R$ 48,50;R$ 5,00;R$ 187,98;R$ 268,30
498..75.3.6-21;Bruno Silveira;02;2024;R$ 144,22;R$ 593,40;R$ 324,88;R$ 769,03;R$ 569,34;R$ 13,84;R$ 46,60;R$ 16,98;R$ 155,11;R$ 64,88
739..60.4.2-15;Lucas Vieira;02;2024;R$ 180,12;R$ 532,30;R$ 681,16;R$ 96,01;R$ 745,78;R$ 29,45;R$ 24,79;R$ 7,76;R$ 488,75;R$ 517,00
571..39.0.2-46;Gabrielly Goncalves;02;2024;R$ 137,52;R$ 474,65;R$ 343,45;R$ 146,36;R$ 599,37;R$ 29,38;R$ 40,54;R$ 23,72;R$ 457,81;R$ 368,03
790..51.3.6-82;Gabriela da Rocha;03;2024;R$ 83,34;R$ 332,55;R$ 660,99;R$ 1685,42;R$ 902,01;R$ 0,96;R$ 49,27;R$ 12,24;R$ 230,45;R$ 381,19
873..15.6.0-94;Clara da Conceicao;03;2024;R$ 184,17;R$ 390,81;R$ 592,80;R$ 1413,69;R$ 890,17;R$ 49,74;R$ 32,69;R$ 33,65;R$ 277,03;R$ 339,71
398..17.5.4-62;Agatha Pires;03;2024;R$ 82,23;R$ 364,41;R$ 552,04;R$ 167,24;R$ 173,08;R$ 3,74;R$ 15,11;R$ 10,36;R$ 244,43;R$ 374,76
927..18.6.3-05;Larissa da Cruz;03;2024;R$ 112,41;R$ 209,27;R$ 385,13;R$ 136,19;R$ 140,05;R$ 46,28;R$ 40,29;R$ 35,02;R$ 86,83;R$ 154,20
238..40.5.6-19;Rafael Ramos;03;2024;R$ 56,74;R$ 451,41;R$ 550,74;R$ 1489,24;R$ 816,33;R$ 28,71;R$ 0,57;R$ 26,84;R$ 287,86;R$ 1056,98
658..41.7.0-23;Ana Julia das Neves;04;2024;R$ 70,58;R$ 559,28;R$ 624,19;R$ 1263,47;R$ 951,14;R$ 42,68;R$ 35,47;R$ 0,27;R$ 442,84;R$ 1107,20
154..63.7.8-29;Maria Julia Cardoso;04;2024;R$ 103,86;R$ 507,24;R$ 700,19;R$ 2143,70;R$ 696,76;R$ 24,46;R$ 9,73;R$ 16,21;R$ 178,70;R$ 439,19
567..12.8.9-04;Lara Castro;04;2024;R$ 135,42;R$ 431,02;R$ 240,23;R$ 55,98;R$ 546,99;R$ 44,29;R$ 3,19;R$ 34,74;R$ 13,98;R$ 157,72
349..86.1.2-70;Maria Eduarda Rodrigues;04;2024;R$ 59,41;R$ 382,10;R$ 407,67;R$ 974,17;R$ 904,49;R$ 18,75;R$ 12,94;R$ 41,06;R$ 199,69;R$ 397,08
182..46.7.5-93;Vicente Freitas;04;2024;R$ 139,03;R$ 591,12;R$ 363,63;R$ 133,91;R$ 518,77;R$ 9,67;R$ 18,15;R$ 31,81;R$ 378,55;R$ 6,71
621..93.0.5-47;Joana Rocha;05;2024;R$ 113,55;R$ 224,92;R$ 591,24;R$ 940,17;R$ 732,68;R$ 37,97;R$ 43,27;R$ 14,17;R$ 451,71;R$ 264,32
627..81.5.4-30;Pedro Miguel da Cunha;05;2024;R$ 161,01;R$ 256,96;R$ 250,05;R$ 82,91;R$ 897,39;R$ 44,17;R$ 14,84;R$ 25,75;R$ 351,61;R$ 558,65
897..25.3.1-46;Livia Novaes;05;2024;R$ 160,39;R$ 352,27;R$ 892,57;R$ 218,75;R$ 592,41;R$ 39,00;R$ 31,69;R$ 43,63;R$ 112,71;R$ 1215,63
453..96.1.0-28;Giovanna Costa;05;2024;R$ 56,49;R$ 453,32;R$ 513,92;R$ 290,21;R$ 762,33;R$ 0,70;R$ 37,56;R$ 44,44;R$ 206,21;R$ 1069,57
923..67.8.0-41;Rafael Cavalcanti;05;2024;R$ 124,95;R$ 416,21;R$ 818,01;R$ 923,18;R$ 172,71;R$ 40,12;R$ 45,99;R$ 44,26;R$ 176,34;R$ 1035,44
271..68.9.3-54;Juan Dias;06;2024;R$ 120,36;R$ 381,29;R$ 622,26;R$ 1148,86;R$ 607,45;R$ 3,52;R$ 25,02;R$ 26,28;R$ 398,68;R$ 1454,04
793..12.8.0-54;Emilly Barros;06;2024;R$ 122,96;R$ 381,83;R$ 432,37;R$ 1188,20;R$ 776,60;R$ 4,98;R$ 39,74;R$ 18,82;R$ 497,42;R$ 337,53
824..93.0.5-16;Joao Gabriel Peixoto;06;2024;R$ 66,87;R$ 355,57;R$ 703,97;R$ 317,36;R$ 469,63;R$ 47,06;R$ 13,79;R$ 21,33;R$ 358,96;R$ 1034,55
721..43.5.9-80;Emanuella Campos;06;2024;R$ 142,93;R$ 218,55;R$ 582,02;R$ 1773,45;R$ 205,70;R$ 12,25;R$ 21,54;R$ 5,36;R$ 461,22;R$ 311,03
096..45.8.1-72;Livia Correia;06;2024;R$ 87,24;R$ 387,77;R$ 344,96;R$ 429,39;R$ 473,34;R$ 37,41;R$ 40,68;R$ 12,50;R$ 145,23;R$ 109,97
601..57.2.9-34;Juliana Souza;07;2024;R$ 93,34;R$ 419,58;R$ 375,58;R$ 515,94;R$ 344,12;R$ 32,02;R$ 49,46;R$ 21,92;R$ 482,90;R$ 91,50
056..97.8.2-31;Raquel Campos;07;2024;R$ 54,91;R$ 492,15;R$ 520,07;R$ 761,98;R$ 373,70;R$ 31,36;R$ 2,64;R$ 24,34;R$ 282,00;R$ 435,52
492..30.1.8-56;Clarice Carvalho;07;2024;R$ 76,77;R$ 521,42;R$ 397,29;R$ 144,14;R$ 457,71;R$ 28,64;R$ 36,67;R$ 41,62;R$ 168,08;R$ 150,29
569..21.7.0-34;Joao Miguel Teixeira;07;2024;R$ 121,06;R$ 313,20;R$ 529,06;R$ 345,52;R$ 414,28;R$ 9,60;R$ 34,15;R$ 21,51;R$ 486,47;R$ 798,88
405..63.2.7-89;Marcelo Novaes;07;2024;R$ 83,21;R$ 390,65;R$ 441,57;R$ 541,43;R$ 873,80;R$ 30,74;R$ 8,77;R$ 36,42;R$ 37,72;R$ 235,58
316..45.8.9-20;Amanda Costa;08;2024;R$ 61,58;R$ 586,49;R$ 422,51;R$ 1126,95;R$ 571,70;R$ 40,28;R$ 13,27;R$ 16,10;R$ 407,69;R$ 639,48
259..36.7.4-10;Luiz Henrique Farias;08;2024;R$ 79,05;R$ 359,48;R$ 514,81;R$ 1355,17;R$ 657,78;R$ 48,98;R$ 11,09;R$ 12,38;R$ 265,79;R$ 859,27
809..45.3.2-16;Isaac Martins;08;2024;R$ 169,72;R$ 461,12;R$ 378,76;R$ 825,33;R$ 343,95;R$ 23,03;R$ 29,78;R$ 48,48;R$ 216,56;R$ 511,29
019..47.8.2-36;Caue da Cunha;08;2024;R$ 159,97;R$ 428,45;R$ 851,25;R$ 930,54;R$ 609,73;R$ 14,94;R$ 26,71;R$ 35,07;R$ 74,21;R$ 283,09
198..60.3.4-75;Rafael Azevedo;08;2024;R$ 153,11;R$ 427,19;R$ 602,03;R$ 466,49;R$ 152,32;R$ 20,60;R$ 13,53;R$ 33,57;R$ 64,43;R$ 889,77
971..20.3.6-84;Joaquim Gomes;09;2024;R$ 194,52;R$ 292,88;R$ 631,05;R$ 659,61;R$ 781,18;R$ 32,32;R$ 48,48;R$ 20,13;R$ 485,10;R$ 319,16
840..76.9.5-12;Marina Sales;09;2024;R$ 69,51;R$ 290,26;R$ 787,02;R$ 1733,23;R$ 964,25;R$ 2,16;R$ 45,08;R$ 9,27;R$ 224,90;R$ 1178,77
312..98.5.7-40;Yuri Vieira;09;2024;R$ 168,83;R$ 356,71;R$ 686,27;R$ 674,35;R$ 993,99;R$ 9,50;R$ 6,12;R$ 20,46;R$ 58,81;R$ 388,73
670..23.1.9-85;Amanda Martins;09;2024;R$ 102,22;R$ 549,34;R$ 908,85;R$ 456,48;R$ 449,76;R$ 10,24;R$ 20,73;R$ 26,33;R$ 100,09;R$ 54,30
562..07.3.9-14;Marina da Mota;09;2024;R$ 177,45;R$ 423,81;R$ 908,85;R$ 1347,39;R$ 154,49;R$ 24,26;R$ 42,33;R$ 47,20;R$ 90,97;R$ 65,54
256..31.9.8-47;Benicio Sales;10;2024;R$ 68,05;R$ 401,54;R$ 420,18;R$ 213,14;R$ 690,05;R$ 34,06;R$ 41,84;R$ 27,71;R$ 141,05;R$ 274,19
094..85.2.3-16;Caue Cunha;10;2024;R$ 72,62;R$ 370,12;R$ 607,95;R$ 1569,72;R$ 520,71;R$ 8,75;R$ 22,90;R$ 42,27;R$ 478,66;R$ 677,09
894..75.6.0-23;Thomas Ramos;10;2024;R$ 57,84;R$ 533,37;R$ 356,72;R$ 600,43;R$ 502,58;R$ 10,40;R$ 21,78;R$ 27,62;R$ 160,07;R$ 328,39
820..61.4.3-79;Rafael Novaes;10;2024;R$ 193,99;R$ 584,32;R$ 656,39;R$ 231,90;R$ 335,15;R$ 39,13;R$ 9,54;R$ 4,90;R$ 44,60;R$ 479,30
698..13.2.5-04;Kevin Peixoto;10;2024;R$ 84,39;R$ 398,13;R$ 908,85;R$ 64,67;R$ 384,14;R$ 11,53;R$ 33,30;R$ 0,20;R$ 82,93;R$ 1094,29
436..58.7.0-29;Danilo Vieira;11;2024;R$ 83,76;R$ 577,26;R$ 418,83;R$ 19,96;R$ 568,26;R$ 37,72;R$ 21,72;R$ 22,69;R$ 460,68;R$ 949,30
749..63.5.2-10;Marcelo da Conceicao;11;2024;R$ 66,91;R$ 284,74;R$ 774,97;R$ 1311,32;R$ 616,97;R$ 24,33;R$ 48,67;R$ 38,13;R$ 457,77;R$ 1263,68
421..87.3.6-59;Ana Beatriz Vieira;11;2024;R$ 84,27;R$ 350,65;R$ 388,83;R$ 797,83;R$ 706,41;R$ 21,48;R$ 41,17;R$ 12,38;R$ 109,63;R$ 864,48
068..14.2.3-75;Benicio da Mota;11;2024;R$ 69,49;R$ 210,12;R$ 726,84;R$ 13,62;R$ 933,15;R$ 15,19;R$ 13,62;R$ 23,80;R$ 204,91;R$ 889,91
607..35.9.4-12;Laura Pinto;11;2024;R$ 155,74;R$ 593,54;R$ 688,30;R$ 1231,02;R$ 790,69;R$ 31,18;R$ 10,83;R$ 21,86;R$ 42,73;R$ 220,84
678..54.0.3-91;Leandro Moura;12;2024;R$ 139,79;R$ 327,05;R$ 283,79;R$ 827,71;R$ 128,66;R$ 9,21;R$ 5,84;R$ 9,73;R$ 195,44;R$ 563,75
473..19.8.2-05;Heloisa da Luz;12;2024;R$ 132,00;R$ 485,08;R$ 516,19;R$ 845,27;R$ 523,37;R$ 5,96;R$ 9,02;R$ 43,07;R$ 495,33;R$ 532,14
481..97.2.3-50;Maria Julia Barros;12;2024;R$ 144,93;R$ 373,60;R$ 529,25;R$ 1036,06;R$ 959,38;R$ 21,50;R$ 7,85;R$ 35,86;R$ 57,60;R$ 119,97
027..38.9.1-46;Isaac Melo;12;2024;R$ 101,02;R$ 525,15;R$ 908,85;R$ 907,63;R$ 790,40;R$ 16,05;R$ 40,80;R$ 9,83;R$ 77,05;R$ 342,29
597..34.1.2-60;Pietra Monteiro;12;2024;R$ 90,41;R$ 486,92;R$ 908,85;R$ 3,63;R$ 840,46;R$ 12,86;R$ 2,44;R$ 40,70;R$ 6,14;R$ 1585,30
