orgao;unidade;cpf;nome do servidor;departamento;tipo de cargo;tipo vinculado;data admissao;carga horaria mensal;remuneracao total;remuneracao do mes;valor liquido;valor provento;valor provento mes;mes pagamento;ano pagamento
Secretaria de TI;Nucleo de Desenvolvimento;372.960.158-02;Francisco Pinto;Ensino Fundamental;Efetivo;Servidor Publico;25/01/2023;120;R$ 3.620,78;R$ 3.620,78;R$ 3.098,36;R$ 4.331,26;R$ 4.105,85;3;2023
Prefeitura Municipal;Gabinete do Prefeito;819.372.045-88;Guilherme Martins;Administracao Geral;Comissionado;Cargo em Comissao;08/09/2016;120;R$ 6.546,66;R$ 6.546,66;R$ 5.626,28;R$ 7.526,27;R$ 6.799,30;3;2023
Secretaria de Financas;Setor de Contabilidade;036.579.128-86;Bianca Viana;Ensino Medio;Comissionado;Cargo em Comissao;27/02/2021;160;R$ 8.277,29;R$ 8.277,29;R$ 7.631,73;R$ 9.055,61;R$ 8.711,80;3;2023
Secretaria da Saude;Posto Central;821.940.537-60;Luiz Otavio Oliveira;Recursos Humanos;Temporario;Contrato Temporario;11/05/2012;160;R$ 6.223,81;R$ 6.223,81;R$ 5.443,59;R$ 7.181,36;R$ 6.881,83;3;2023
Secretaria de Financas;Setor de Contabilidade;067.419.582-58;Vitor Nogueira;Ensino Medio;Efetivo;Servidor Publico;07/02/2023;120;R$ 7.448,03;R$ 7.448,03;R$ 6.925,52;R$ 8.191,42;R$ 8.424,74;4;2023
Secretaria de TI;Nucleo de Desenvolvimento;137.085.426-90;Joana da Rocha;Ensino Medio;Temporario;Contrato Temporario;29/09/2015;180;R$ 5.503,96;R$ 5.503,96;R$ 4.930,20;R$ 6.039,74;R$ 5.742,54;4;2023
Prefeitura Municipal;Gabinete do Prefeito;832.570.169-21;Luiz Fernando Almeida;Financeiro;Temporario;Contrato Temporario;09/05/2020;120;R$ 5.413,57;R$ 5.413,57;R$ 4.778,68;R$ 5.978,98;R$ 6.104,11;4;2023
Secretaria da Educacao;Escola Municipal Aurora;108.674.925-11;Manuela Rodrigues;Recursos Humanos;Comissionado;Cargo em Comissao;12/12/2016;160;R$ 5.633,32;R$ 5.633,32;R$ 5.127,75;R$ 6.594,80;R$ 6.592,43;4;2023
Prefeitura Municipal;Gabinete do Prefeito;651.794.283-19;Bruno Costela;Financeiro;Comissionado;Cargo em Comissao;22/09/2020;120;R$ 7.596,91;R$ 7.596,91;R$ 7.241,32;R$ 8.176,20;R$ 8.211,44;4;2023
Secretaria da Educacao;Escola Municipal Aurora;571.092.486-58;Felipe Gomes;Ensino Medio;Comissionado;Cargo em Comissao;30/01/2014;160;R$ 6.984,01;R$ 6.984,01;R$ 6.422,36;R$ 7.366,56;R$ 7.628,36;5;2023
Secretaria de Financas;Setor de Contabilidade;168.254.037-53;Leticia Pereira;Recursos Humanos;Temporario;Contrato Temporario;06/03/2017;180;R$ 6.921,04;R$ 6.921,04;R$ 6.506,44;R$ 7.771,68;R$ 7.252,41;5;2023
Secretaria de TI;Nucleo de Desenvolvimento;824.371.695-55;Diego Santos;Enfermagem;Temporario;Contrato Temporario;03/08/2014;120;R$ 5.756,22;R$ 5.756,22;R$ 5.219,61;R$ 6.526,97;R$ 6.270,43;5;2023
Secretaria de Financas;Setor de Contabilidade;380.256.419-70;Gabriela Peixoto;Administracao Geral;Comissionado;Cargo em Comissao;03/01/2011;180;R$ 5.818,59;R$ 5.818,59;R$ 5.607,09;R$ 6.448,11;R$ 6.648,37;5;2023
Secretaria da Saude;Posto Central;650.823.917-12;Thales Moura;Ensino Fundamental;Comissionado;Cargo em Comissao;12/01/2018;180;R$ 5.487,25;R$ 5.487,25;R$ 5.189,77;R$ 6.357,35;R$ 6.057,40;5;2023
Secretaria de TI;Nucleo de Desenvolvimento;049.532.786-74;Maria Clara Nascimento;Financeiro;Comissionado;Cargo em Comissao;31/08/2016;180;R$ 6.494,42;R$ 6.494,42;R$ 5.953,94;R$ 7.088,29;R$ 7.442,30;6;2023
Secretaria de Financas;Setor de Contabilidade;967.504.823-92;Vitor Gabriel Santos;Enfermagem;Temporario;Contrato Temporario;21/12/2023;120;R$ 6.328,23;R$ 6.328,23;R$ 5.495,21;R$ 7.265,47;R$ 7.321,72;6;2023
Secretaria da Saude;Posto Central;316.982.745-64;Cecilia Oliveira;TI;Temporario;Contrato Temporario;07/01/2014;120;R$ 7.326,15;R$ 7.326,15;R$ 7.041,56;R$ 7.596,20;R$ 7.900,01;6;2023
Secretaria de TI;Nucleo de Desenvolvimento;047.925.638-10;Joao Felipe Barbosa;Enfermagem;Efetivo;Servidor Publico;22/03/2018;160;R$ 5.306,85;R$ 5.306,85;R$ 4.812,50;R$ 6.179,58;R$ 6.236,98;6;2023
Secretaria da Educacao;Escola Municipal Aurora;986.240.317-96;Davi Lucca Ferreira;Ensino Medio;Temporario;Contrato Temporario;01/09/2011;160;R$ 3.063,20;R$ 3.063,20;R$ 2.203,61;R$ 3.702,87;R$ 3.370,54;6;2023
Secretaria de TI;Nucleo de Desenvolvimento;512.309.468-70;Maite Rocha;Ensino Fundamental;Temporario;Contrato Temporario;10/04/2017;120;R$ 3.350,03;R$ 3.350,03;R$ 2.875,09;R$ 3.736,33;R$ 3.808,04;7;2023
Secretaria de Financas;Setor de Contabilidade;865.309.721-02;Pedro Lucas Cavalcanti;Administracao Geral;Comissionado;Cargo em Comissao;04/06/2015;120;R$ 6.882,34;R$ 6.882,34;R$ 6.030,57;R$ 7.707,46;R$ 7.103,63;7;2023
Prefeitura Municipal;Gabinete do Prefeito;978.410.365-66;Pedro Miguel Pires;TI;Comissionado;Cargo em Comissao;19/11/2012;180;R$ 8.724,46;R$ 8.724,46;R$ 7.907,81;R$ 9.100,65;R$ 9.192,78;7;2023
Secretaria da Saude;Posto Central;065.279.813-68;Lavinia Ferreira;Administracao Geral;Temporario;Contrato Temporario;12/08/2020;160;R$ 3.161,23;R$ 3.161,23;R$ 2.177,74;R$ 3.782,50;R$ 3.623,76;7;2023
Secretaria de TI;Nucleo de Desenvolvimento;421.570.693-99;Nathan da Cruz;Recursos Humanos;Temporario;Contrato Temporario;17/02/2024;180;R$ 4.581,83;R$ 4.581,83;R$ 4.347,37;R$ 5.288,24;R$ 5.380,15;7;2023
Prefeitura Municipal;Gabinete do Prefeito;307.216.954-34;Ana Julia Barbosa;Financeiro;Temporario;Contrato Temporario;28/04/2024;180;R$ 3.178,47;R$ 3.178,47;R$ 2.509,62;R$ 3.703,45;R$ 3.741,90;8;2023
Secretaria da Educacao;Escola Municipal Aurora;528.047.361-80;Luiz Miguel da Rocha;Recursos Humanos;Efetivo;Servidor Publico;08/01/2020;120;R$ 8.965,78;R$ 8.965,78;R$ 8.500,44;R$ 9.284,87;R$ 9.771,59;8;2023
Secretaria da Educacao;Escola Municipal Aurora;560.493.217-52;Ana Clara Costela;Ensino Medio;Efetivo;Servidor Publico;16/06/2014;120;R$ 5.202,14;R$ 5.202,14;R$ 4.996,23;R$ 5.534,04;R$ 5.975,69;8;2023
Secretaria de TI;Nucleo de Desenvolvimento;391.540.287-79;Henrique Nunes;Recursos Humanos;Efetivo;Servidor Publico;29/04/2015;120;R$ 3.068,38;R$ 3.068,38;R$ 2.288,55;R$ 3.973,79;R$ 3.363,96;8;2023
Secretaria da Saude;Posto Central;856.190.374-01;Maria Alice Barbosa;Financeiro;Efetivo;Servidor Publico;09/10/2021;180;R$ 7.434,62;R$ 7.434,62;R$ 6.656,82;R$ 8.169,34;R$ 7.813,13;8;2023
Secretaria de Financas;Setor de Contabilidade;826.735.091-86;Elisa da Mata;Ensino Medio;Temporario;Contrato Temporario;11/11/2023;180;R$ 5.660,66;R$ 5.660,66;R$ 4.948,19;R$ 6.634,74;R$ 6.083,08;9;2023
Secretaria da Educacao;Escola Municipal Aurora;426.851.037-08;Lais Ferreira;Ensino Fundamental;Temporario;Contrato Temporario;31/03/2013;180;R$ 5.438,04;R$ 5.438,04;R$ 5.106,15;R$ 6.407,30;R$ 6.379,94;9;2023
Secretaria da Educacao;Escola Municipal Aurora;978.261.403-31;Ana Livia da Mota;Financeiro;Comissionado;Cargo em Comissao;25/06/2010;180;R$ 3.361,01;R$ 3.361,01;R$ 2.404,38;R$ 4.082,18;R$ 4.019,10;9;2023
Secretaria da Saude;Posto Central;762.139.408-04;Luiz Gustavo Oliveira;Ensino Medio;Temporario;Contrato Temporario;28/08/2023;180;R$ 3.617,32;R$ 3.617,32;R$ 2.968,55;R$ 4.428,25;R$ 4.096,78;9;2023
Prefeitura Municipal;Gabinete do Prefeito;804.726.195-94;Vitor Gabriel Pinto;Administracao Geral;Efetivo;Servidor Publico;17/06/2017;160;R$ 5.254,71;R$ 5.254,71;R$ 4.417,84;R$ 6.129,49;R$ 5.961,24;9;2023
Secretaria de TI;Nucleo de Desenvolvimento;761.320.489-87;Gustavo Almeida;Enfermagem;Temporario;Contrato Temporario;12/03/2020;160;R$ 7.771,57;R$ 7.771,57;R$ 6.949,60;R$ 8.581,85;R$ 8.001,93;10;2023
Prefeitura Municipal;Gabinete do Prefeito;362.897.051-21;Ana Julia Porto;TI;Efetivo;Servidor Publico;23/04/2021;160;R$ 5.096,14;R$ 5.096,14;R$ 4.418,17;R$ 6.071,65;R$ 6.079,19;10;2023
Secretaria de Financas;Setor de Contabilidade;498.236.517-28;Henrique Ferreira;Administracao Geral;Comissionado;Cargo em Comissao;14/07/2019;160;R$ 7.126,64;R$ 7.126,64;R$ 6.903,23;R$ 7.538,17;R$ 8.051,70;10;2023
Secretaria de Financas;Setor de Contabilidade;049.536.178-00;Davi Lucas Rezende;Administracao Geral;Temporario;Contrato Temporario;10/06/2020;160;R$ 6.954,42;R$ 6.954,42;R$ 6.483,76;R$ 7.950,24;R$ 7.569,53;10;2023
Prefeitura Municipal;Gabinete do Prefeito;709.138.256-03;Rafael Silva;Ensino Fundamental;Temporario;Contrato Temporario;20/06/2019;180;R$ 8.268,69;R$ 8.268,69;R$ 7.517,44;R$ 8.916,85;R$ 8.634,72;10;2023
Secretaria da Educacao;Escola Municipal Aurora;723.456.081-53;Yasmin da Rocha;Recursos Humanos;Efetivo;Servidor Publico;30/06/2020;120;R$ 8.793,90;R$ 8.793,90;R$ 7.943,86;R$ 9.141,92;R$ 9.536,13;11;2023
Secretaria de Financas;Setor de Contabilidade;783.619.542-28;Isis Goncalves;Enfermagem;Efetivo;Servidor Publico;16/08/2017;180;R$ 3.142,62;R$ 3.142,62;R$ 2.527,84;R$ 4.042,02;R$ 3.719,36;11;2023
Secretaria de Financas;Setor de Contabilidade;389.056.142-05;Marcelo Martins;Administracao Geral;Comissionado;Cargo em Comissao;14/08/2023;160;R$ 5.703,57;R$ 5.703,57;R$ 4.783,15;R$ 6.593,60;R$ 6.137,19;11;2023
Prefeitura Municipal;Gabinete do Prefeito;891.305.462-06;Luiza Cunha;Ensino Fundamental;Temporario;Contrato Temporario;27/10/2014;120;R$ 8.029,74;R$ 8.029,74;R$ 7.528,14;R$ 8.346,72;R$ 8.511,82;11;2023
Secretaria da Saude;Posto Central;376.842.195-37;Pedro Miguel Silva;Recursos Humanos;Comissionado;Cargo em Comissao;29/04/2011;180;R$ 8.093,76;R$ 8.093,76;R$ 7.458,70;R$ 8.780,06;R$ 8.895,91;11;2023
Secretaria da Saude;Posto Central;620.389.574-10;Joao Rezende;TI;Comissionado;Cargo em Comissao;21/12/2014;120;R$ 7.694,01;R$ 7.694,01;R$ 7.041,31;R$ 8.428,81;R$ 8.294,84;12;2023
Prefeitura Municipal;Gabinete do Prefeito;627.058.391-86;Livia Costela;Ensino Fundamental;Comissionado;Cargo em Comissao;14/02/2011;180;R$ 4.569,24;R$ 4.569,24;R$ 4.077,80;R$ 5.165,06;R$ 5.101,62;12;2023
Prefeitura Municipal;Gabinete do Prefeito;051.687.493-48;Leticia Caldeira;Enfermagem;Efetivo;Servidor Publico;02/06/2012;180;R$ 6.594,85;R$ 6.594,85;R$ 5.656,99;R$ 7.435,89;R$ 6.894,16;12;2023
Secretaria de TI;Nucleo de Desenvolvimento;452.971.083-14;Vitoria Nunes;Ensino Medio;Efetivo;Servidor Publico;26/06/2011;120;R$ 3.170,34;R$ 3.170,34;R$ 2.260,43;R$ 3.623,48;R$ 3.533,41;12;2023
Secretaria de TI;Nucleo de Desenvolvimento;537.240.816-26;Samuel Alves;Ensino Medio;Comissionado;Cargo em Comissao;13/08/2020;120;R$ 5.082,15;R$ 5.082,15;R$ 4.492,81;R$ 5.433,70;R$ 5.741,14;12;2023
Secretaria de Financas;Setor de Contabilidade;287.630.145-80;Valentina Caldeira;Ensino Fundamental;Efetivo;Servidor Publico;18/01/2016;120;R$ 6.828,66;R$ 6.828,66;R$ 6.121,07;R$ 7.556,79;R$ 7.756,81;1;2024
Secretaria de Financas;Setor de Contabilidade;647.852.309-83;Livia Cunha;TI;Efetivo;Servidor Publico;28/11/2019;120;R$ 7.219,42;R$ 7.219,42;R$ 6.588,30;R$ 8.088,16;R$ 8.020,34;1;2024
Prefeitura Municipal;Gabinete do Prefeito;386.914.275-82;Caue Cardoso;Financeiro;Temporario;Contrato Temporario;20/12/2011;180;R$ 6.000,92;R$ 6.000,92;R$ 5.134,45;R$ 6.957,90;R$ 6.371,62;1;2024
Secretaria de TI;Nucleo de Desenvolvimento;028.374.915-60;Isabella Ramos;Ensino Medio;Temporario;Contrato Temporario;04/11/2023;180;R$ 4.505,49;R$ 4.505,49;R$ 4.045,92;R$ 5.278,84;R$ 5.123,95;1;2024
Secretaria da Saude;Posto Central;180.497.356-48;Igor da Mata;Recursos Humanos;Temporario;Contrato Temporario;15/07/2016;180;R$ 8.891,84;R$ 8.891,84;R$ 7.931,08;R$ 9.130,56;R$ 9.614,12;1;2024
Prefeitura Municipal;Gabinete do Prefeito;491.762.508-49;Milena Carvalho;Administracao Geral;Comissionado;Cargo em Comissao;21/05/2021;160;R$ 5.201,59;R$ 5.201,59;R$ 4.224,11;R$ 5.951,40;R$ 5.973,04;2;2024
Secretaria da Saude;Posto Central;928.730.465-38;Thales Campos;Ensino Fundamental;Comissionado;Cargo em Comissao;31/07/2019;160;R$ 6.127,62;R$ 6.127,62;R$ 5.862,22;R$ 6.542,94;R$ 6.328,24;2;2024
Secretaria de Financas;Setor de Contabilidade;498.753.621-82;Bruno Silveira;Ensino Fundamental;Comissionado;Cargo em Comissao;22/05/2018;120;R$ 3.502,89;R$ 3.502,89;R$ 3.157,71;R$ 3.898,70;R$ 3.743,35;2;2024
Prefeitura Municipal;Gabinete do Prefeito;739.604.215-16;Lucas Vieira;Administracao Geral;Efetivo;Servidor Publico;14/10/2018;180;R$ 6.660,83;R$ 6.660,83;R$ 5.980,15;R$ 7.454,77;R$ 7.530,22;2;2024
Secretaria de Financas;Setor de Contabilidade;571.390.246-34;Gabrielly Goncalves;Ensino Medio;Temporario;Contrato Temporario;24/11/2014;160;R$ 3.952,84;R$ 3.952,84;R$ 3.304,70;R$ 4.654,99;R$ 4.871,26;2;2024
Secretaria de Financas;Setor de Contabilidade;790.513.682-59;Gabriela da Rocha;Enfermagem;Comissionado;Cargo em Comissao;24/08/2014;160;R$ 7.596,30;R$ 7.596,30;R$ 6.962,99;R$ 7.841,50;R$ 7.878,49;3;2024
Secretaria da Educacao;Escola Municipal Aurora;873.156.094-66;Clara da Conceicao;Financeiro;Efetivo;Servidor Publico;21/05/2017;180;R$ 5.448,74;R$ 5.448,74;R$ 5.111,63;R$ 5.732,58;R$ 6.333,82;3;2024
Prefeitura Municipal;Gabinete do Prefeito;398.175.462-09;Agatha Pires;Financeiro;Temporario;Contrato Temporario;19/02/2015;120;R$ 7.024,57;R$ 7.024,57;R$ 6.554,36;R$ 7.777,38;R$ 7.287,21;3;2024
Secretaria de TI;Nucleo de Desenvolvimento;927.186.305-40;Larissa da Cruz;TI;Efetivo;Servidor Publico;02/09/2023;160;R$ 3.910,64;R$ 3.910,64;R$ 3.661,01;R$ 4.881,03;R$ 4.823,93;3;2024
Prefeitura Municipal;Gabinete do Prefeito;238.405.619-06;Rafael Ramos;Recursos Humanos;Comissionado;Cargo em Comissao;23/04/2019;160;R$ 6.087,64;R$ 6.087,64;R$ 5.572,21;R$ 6.545,07;R$ 6.419,93;3;2024
Secretaria da Educacao;Escola Municipal Aurora;658.417.023-35;Ana Julia das Neves;TI;Temporario;Contrato Temporario;26/01/2014;120;R$ 6.992,49;R$ 6.992,49;R$ 6.745,54;R$ 7.334,29;R$ 7.438,74;4;2024
Prefeitura Municipal;Gabinete do Prefeito;154.637.829-46;Maria Julia Cardoso;TI;Temporario;Contrato Temporario;09/12/2018;120;R$ 8.278,85;R$ 8.278,85;R$ 7.536,83;R$ 9.224,97;R$ 9.104,26;4;2024
Secretaria de TI;Nucleo de Desenvolvimento;567.128.904-11;Lara Castro;Recursos Humanos;Temporario;Contrato Temporario;29/12/2013;120;R$ 3.025,51;R$ 3.025,51;R$ 2.406,81;R$ 3.909,81;R$ 3.909,85;4;2024
Secretaria da Saude;Posto Central;349.861.270-04;Maria Eduarda Rodrigues;Administracao Geral;Temporario;Contrato Temporario;05/02/2024;120;R$ 4.848,71;R$ 4.848,71;R$ 4.453,11;R$ 5.224,20;R$ 5.109,24;4;2024
Prefeitura Municipal;Gabinete do Prefeito;182.467.593-37;Vicente Freitas;Ensino Fundamental;Temporario;Contrato Temporario;31/05/2017;160;R$ 3.757,93;R$ 3.757,93;R$ 3.114,91;R$ 4.127,32;R$ 4.577,90;4;2024
Secretaria de TI;Nucleo de Desenvolvimento;621.930.547-70;Joana Rocha;Administracao Geral;Comissionado;Cargo em Comissao;22/12/2013;180;R$ 4.806,92;R$ 4.806,92;R$ 4.038,07;R$ 5.082,53;R$ 5.303,38;5;2024
Secretaria de Financas;Setor de Contabilidade;627.815.430-71;Pedro Miguel da Cunha;Financeiro;Temporario;Contrato Temporario;26/05/2011;180;R$ 3.146,79;R$ 3.146,79;R$ 2.278,50;R$ 4.114,93;R$ 4.034,10;5;2024
Secretaria da Saude;Posto Central;897.253.146-46;Livia Novaes;Ensino Fundamental;Efetivo;Servidor Publico;26/06/2012;180;R$ 7.540,99;R$ 7.540,99;R$ 6.755,82;R$ 7.811,30;R$ 8.426,74;5;2024
Secretaria da Saude;Posto Central;453.961.028-70;Giovanna Costa;Enfermagem;Temporario;Contrato Temporario;08/01/2017;120;R$ 6.629,87;R$ 6.629,87;R$ 6.382,09;R$ 7.251,50;R$ 6.889,79;5;2024
Secretaria de Financas;Setor de Contabilidade;923.678.041-50;Rafael Cavalcanti;Financeiro;Efetivo;Servidor Publico;18/04/2011;160;R$ 6.693,07;R$ 6.693,07;R$ 6.475,53;R$ 7.618,05;R$ 7.634,57;5;2024
Secretaria de Financas;Setor de Contabilidade;271.689.354-37;Juan Dias;Financeiro;Efetivo;Servidor Publico;25/01/2013;160;R$ 7.498,87;R$ 7.498,87;R$ 7.212,86;R$ 8.186,32;R$ 7.732,07;6;2024
Secretaria de Financas;Setor de Contabilidade;793.128.054-79;Emilly Barros;Enfermagem;Comissionado;Cargo em Comissao;10/04/2022;180;R$ 4.786,12;R$ 4.786,12;R$ 4.246,60;R$ 5.732,26;R$ 5.091,73;6;2024
Secretaria da Educacao;Escola Municipal Aurora;824.930.516-70;Joao Gabriel Peixoto;Enfermagem;Temporario;Contrato Temporario;13/03/2022;120;R$ 6.806,66;R$ 6.806,66;R$ 6.185,65;R$ 7.310,04;R$ 7.196,99;6;2024
Secretaria de Financas;Setor de Contabilidade;721.435.980-41;Emanuella Campos;TI;Efetivo;Servidor Publico;01/11/2017;180;R$ 6.998,90;R$ 6.998,90;R$ 6.168,32;R$ 7.277,43;R$ 7.516,95;6;2024
Secretaria de Financas;Setor de Contabilidade;096.458.172-85;Livia Correia;TI;Temporario;Contrato Temporario;25/12/2021;160;R$ 4.328,34;R$ 4.328,34;R$ 3.950,05;R$ 4.994,96;R$ 4.966,16;6;2024
Secretaria da Educacao;Escola Municipal Aurora;601.572.934-16;Juliana Souza;Enfermagem;Temporario;Contrato Temporario;05/12/2023;180;R$ 3.874,61;R$ 3.874,61;R$ 3.644,55;R$ 4.190,19;R$ 4.597,73;7;2024
Prefeitura Municipal;Gabinete do Prefeito;056.978.231-77;Raquel Campos;Ensino Fundamental;Temporario;Contrato Temporario;01/04/2022;160;R$ 4.208,75;R$ 4.208,75;R$ 3.462,14;R$ 4.806,80;R$ 4.936,99;7;2024
Prefeitura Municipal;Gabinete do Prefeito;492.301.856-98;Clarice Carvalho;Administracao Geral;Comissionado;Cargo em Comissao;03/11/2013;160;R$ 3.138,70;R$ 3.138,70;R$ 2.320,27;R$ 3.717,24;R$ 4.104,83;7;2024
Secretaria da Educacao;Escola Municipal Aurora;569.217.034-52;Joao Miguel Teixeira;Ensino Medio;Efetivo;Servidor Publico;06/11/2022;160;R$ 4.952,11;R$ 4.952,11;R$ 4.009,79;R$ 5.853,33;R$ 5.366,63;7;2024
Secretaria de Financas;Setor de Contabilidade;405.632.789-00;Marcelo Novaes;Administracao Geral;Efetivo;Servidor Publico;18/11/2013;120;R$ 3.535,26;R$ 3.535,26;R$ 3.021,14;R$ 3.900,63;R$ 4.070,49;7;2024
Secretaria da Educacao;Escola Municipal Aurora;316.458.920-42;Amanda Costa;TI;Temporario;Contrato Temporario;10/07/2013;180;R$ 4.384,36;R$ 4.384,36;R$ 4.104,52;R$ 5.044,52;R$ 5.106,92;8;2024
Secretaria da Saude;Posto Central;259.367.410-52;Luiz Henrique Farias;Recursos Humanos;Comissionado;Cargo em Comissao;30/06/2014;180;R$ 5.774,12;R$ 5.774,12;R$ 5.345,60;R$ 6.682,72;R$ 6.719,32;8;2024
Secretaria da Saude;Posto Central;809.453.216-51;Isaac Martins;Ensino Medio;Comissionado;Cargo em Comissao;28/05/2022;180;R$ 3.268,58;R$ 3.268,58;R$ 2.778,19;R$ 4.013,43;R$ 4.013,36;8;2024
Secretaria da Educacao;Escola Municipal Aurora;019.478.236-04;Caue da Cunha;Ensino Fundamental;Efetivo;Servidor Publico;24/07/2020;160;R$ 7.100,62;R$ 7.100,62;R$ 6.729,74;R$ 7.856,86;R$ 7.476,94;8;2024
Prefeitura Municipal;Gabinete do Prefeito;198.603.475-57;Rafael Azevedo;Enfermagem;Temporario;Contrato Temporario;29/10/2018;160;R$ 5.560,56;R$ 5.560,56;R$ 4.635,75;R$ 6.290,04;R$ 6.426,15;8;2024
Secretaria de Financas;Setor de Contabilidade;971.203.684-78;Joaquim Gomes;Recursos Humanos;Temporario;Contrato Temporario;16/08/2018;180;R$ 6.300,39;R$ 6.300,39;R$ 6.033,20;R$ 7.262,75;R$ 6.679,18;9;2024
Secretaria da Saude;Posto Central;840.769.512-20;Marina Sales;Ensino Medio;Comissionado;Cargo em Comissao;15/09/2020;180;R$ 7.630,30;R$ 7.630,30;R$ 6.927,62;R$ 8.011,58;R$ 8.421,52;9;2024
Prefeitura Municipal;Gabinete do Prefeito;312.985.740-05;Yuri Vieira;Enfermagem;Efetivo;Servidor Publico;27/12/2010;120;R$ 7.302,65;R$ 7.302,65;R$ 6.798,03;R$ 7.719,75;R$ 7.908,36;9;2024
Secretaria da Saude;Posto Central;670.231.985-12;Amanda Martins;Administracao Geral;Efetivo;Servidor Publico;04/02/2023;180;R$ 7.743,12;R$ 7.743,12;R$ 6.988,73;R$ 8.735,27;R$ 8.142,43;9;2024
Secretaria de TI;Nucleo de Desenvolvimento;562.073.914-70;Marina da Mota;Enfermagem;Temporario;Contrato Temporario;24/03/2015;180;R$ 8.423,51;R$ 8.423,51;R$ 7.725,01;R$ 9.419,29;R$ 9.360,90;9;2024
Secretaria da Saude;Posto Central;256.319.847-09;Benicio Sales;Ensino Medio;Efetivo;Servidor Publico;25/07/2011;160;R$ 3.083,64;R$ 3.083,64;R$ 2.830,59;R$ 3.337,73;R$ 3.780,56;10;2024
Secretaria de Financas;Setor de Contabilidade;094.852.316-60;Caue Cunha;Ensino Fundamental;Comissionado;Cargo em Comissao;30/09/2023;180;R$ 7.040,73;R$ 7.040,73;R$ 6.559,32;R$ 7.984,76;R$ 7.338,85;10;2024
Prefeitura Municipal;Gabinete do Prefeito;894.756.023-56;Thomas Ramos;TI;Comissionado;Cargo em Comissao;27/01/2021;160;R$ 4.018,66;R$ 4.018,66;R$ 3.092,31;R$ 4.782,45;R$ 4.861,62;10;2024
Secretaria de TI;Nucleo de Desenvolvimento;820.614.379-31;Rafael Novaes;Ensino Fundamental;Efetivo;Servidor Publico;17/01/2012;160;R$ 8.134,69;R$ 8.134,69;R$ 7.194,91;R$ 8.555,87;R$ 8.747,63;10;2024
